date,lake,sed_mean,sed_mean_bb
2017-11-30,Lake Fryxell,0.18297110465602168,0.10346372726135292
2017-12-02,Lake Fryxell,0.19348080514282584,0.09564447375732173
2017-12-07,Lake Fryxell,0.22955451868850266,0.11478090685043008
2017-12-16,Lake Fryxell,0.06823462796916771,0.002477931879258692
2017-12-23,Lake Fryxell,0.06813810778441161,0.008774628857985987
2018-01-03,Lake Fryxell,0.030396896666002687,7.519974632370741e-7
2018-01-05,Lake Fryxell,0.028217320248287533,0
2018-01-07,Lake Fryxell,0.022012059090176513,3.393359185321498e-5
2018-01-10,Lake Fryxell,0.04819178222674824,0.012894714663756654
2018-01-12,Lake Fryxell,0.05351325626454414,0.016961332952933686
2018-01-14,Lake Fryxell,0.07106085350660958,0.027785838711549462
2018-01-19,Lake Fryxell,0.07812239121203195,0.03595380569546469
2018-01-26,Lake Fryxell,0.008731050168854698,0.003458331892088745
2018-01-30,Lake Fryxell,0.01875730765188901,0.0048847649464131195
2018-11-05,Lake Fryxell,0.18919332099815736,0.12286207409001383
2018-11-07,Lake Fryxell,0.11016314741646059,0.0778857219131196
2018-11-08,Lake Fryxell,0.1371048716472689,0.1172703948656195
2018-11-12,Lake Fryxell,0.15724118273421006,0.10904658085813648
2018-11-17,Lake Fryxell,0.09718109012449777,0.08326234061382991
2018-11-19,Lake Fryxell,0.1289041600244369,0.11349811001603764
2018-11-24,Lake Fryxell,0.11474841151593988,0.0860521859713459
2018-11-26,Lake Fryxell,0.13411300805474077,0.08421558500582674
2018-11-28,Lake Fryxell,0.14277021118310107,0.07933384183351357
2018-11-30,Lake Fryxell,0.16326456566885245,0.10884622523659154
2018-12-05,Lake Fryxell,0.17338335820125728,0.10221847271786555
2018-12-19,Lake Fryxell,0.08117974047063263,0.007516890278880841
2018-12-25,Lake Fryxell,0.34709673230758,0.18077909985869905
2018-12-30,Lake Fryxell,0.20525897291482728,0.1550387566615092
2019-01-01,Lake Fryxell,0.13885829811812353,0.14985313657382363
2019-01-04,Lake Fryxell,0.16954610963794625,0.17401955142346756
2019-01-06,Lake Fryxell,0.17889743946680445,0.1933303600714605
2019-01-10,Lake Fryxell,0.18177142328869011,0.19300456001373778
2019-01-11,Lake Fryxell,0.2146639787630212,0.213479844804265
2019-01-15,Lake Fryxell,0.16764795896852036,0.16999802648797072
2019-01-24,Lake Fryxell,0.1560865434285606,0.16234970996611492
2019-01-26,Lake Fryxell,0.16957585415403478,0.1740246575679285
2019-01-27,Lake Fryxell,0.17859935081072945,0.18285424531178368
2019-11-04,Lake Fryxell,0.24180144685689306,0.40097876265645027
2019-11-06,Lake Fryxell,0.41297547007276636,0.4195408740438017
2019-11-08,Lake Fryxell,0.39877099792502124,0.4058752780346046
2019-11-10,Lake Fryxell,0.38511067011870703,0.40236350828713746
2019-11-11,Lake Fryxell,0.3855141258917446,0.3902923845146832
2019-11-15,Lake Fryxell,0.34714999839946226,0.37596014091618973
2019-11-17,Lake Fryxell,0.3507630377627605,0.3854329903378971
2019-11-24,Lake Fryxell,0.3629209542212209,0.3699180049107487
2019-11-26,Lake Fryxell,0.26597484970922985,0.3464220575436623
2019-11-27,Lake Fryxell,0.3271729677575367,0.3240521471051121
2019-12-03,Lake Fryxell,0.30586725861784864,0.32692680503696875
2019-12-10,Lake Fryxell,0.10102754444223834,0.02949628838475524
2019-12-12,Lake Fryxell,0.10381336991236068,0.054696424044948774
2019-12-17,Lake Fryxell,0.10646827542222363,0.1033053449789435
2019-12-24,Lake Fryxell,0.15005561436174888,0.1610145226257277
2019-12-26,Lake Fryxell,0.12803233213823903,0.14193146551181948
2019-12-29,Lake Fryxell,0.10724414971094556,0.08603336030856533
2019-12-31,Lake Fryxell,0.1188512532094397,0.13303224849555145
2020-01-02,Lake Fryxell,0.15354693244266576,0.1853984468316754
2020-01-11,Lake Fryxell,0.1432201603554386,0.1693742308079412
2020-01-20,Lake Fryxell,0.19046059248752423,0.22462310174241998
2020-10-30,Lake Fryxell,0.3224698399633441,0.29273787017603564
2020-11-08,Lake Fryxell,0.2029945874674244,0.16072428150844753
2020-11-15,Lake Fryxell,0.3641162895255463,0.34923915004819855
2020-11-17,Lake Fryxell,0.35502396408278986,0.3426976922087203
2020-11-19,Lake Fryxell,0.34922883621227624,0.33419846412830784
2020-11-24,Lake Fryxell,0.3424117451114751,0.3312990454802836
2020-11-26,Lake Fryxell,0.3406477919154078,0.3296871918036525
2020-11-28,Lake Fryxell,0.3212808646008433,0.3146923314372118
