system:index,brightest_band_means,brightest_geometry,date,dimmest_band_means,dimmest_geometry,image_id,.geo
36,"[0.3656812085789863, 0.3232780160039111, 0.328456395057682, 0.31728305294225106, 0.16406557932292262, 0.15971526268267297, 0.32421185926982965]","[163.17518725654375, -77.61204069306538]",2018-11-08T00:00:00,"[0.47258158304657405, 0.4296994607959357, 0.42727435468207764, 0.3496043437427713, 0.09826670465466884, 0.0974054022123626, 0.43087895660655917]","[163.17537161413546, -77.5996182219057]",36,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,"[0.2385792230194116, 0.19922736096434818, 0.19563975155301574, 0.18796242361978255, 0.1537097360677086, 0.14375095828464174, 0.19035477730177008]","[163.17518725654375, -77.61204069306538]",2018-11-12T00:00:00,"[0.4891110209043095, 0.4642802073427263, 0.46310995490347445, 0.33865318966111546, 0.03229755727055592, 0.02949610489846554, 0.4623964955400707]","[163.17537161413546, -77.5996182219057]",37,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,"[0.23245441509037787, 0.19473842375094005, 0.19263232577815315, 0.1808116166227642, 0.1398407148327919, 0.1318203796663298, 0.19049552218333946]","[163.17518725654375, -77.61204069306538]",2018-11-17T00:00:00,"[0.4764595871980404, 0.4440545271004934, 0.4392642763271635, 0.3262818826264633, 0.032052663932295215, 0.030905663545512566, 0.442567453191208]","[163.17537161413546, -77.5996182219057]",38,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,"[0.23228803278359467, 0.20136655525108102, 0.19679125683838414, 0.18368683037820005, 0.14772574533389948, 0.1406354024013242, 0.19645775803792712]","[163.17518725654375, -77.61204069306538]",2018-11-19T00:00:00,"[0.4759775767947477, 0.4513701951005808, 0.4387409867032024, 0.2960640660222196, 0.023277527653156996, 0.021905132990348485, 0.44510269405228586]","[163.17537161413546, -77.5996182219057]",39,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,"[0.22519110516934285, 0.19194009146054097, 0.189955279841147, 0.17717919895925374, 0.14313321120757724, 0.13563643767231556, 0.19165570954940434]","[163.17518725654375, -77.61204069306538]",2018-11-24T00:00:00,"[0.465326678694465, 0.4423299233133632, 0.43520555025731134, 0.31247850427621326, 0.015601340122123221, 0.014212476509228245, 0.44180323218265427]","[163.17537161413546, -77.5996182219057]",40,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,"[0.21322630030929252, 0.1815023099098285, 0.17765617036631695, 0.16747778157527501, 0.14526355328575222, 0.1364356123218253, 0.17507669019812694]","[163.17518725654375, -77.61204069306538]",2018-11-26T00:00:00,"[0.4671189778425337, 0.44760477570660306, 0.44731773200674785, 0.34396852580136156, 0.013823013493968615, 0.012559107253042576, 0.4472596247527873]","[163.17537161413546, -77.5996182219057]",41,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,"[0.22138124145080293, 0.18664566814051964, 0.18354512168798365, 0.1741885408997862, 0.15068566775782066, 0.1411664612640763, 0.17831173337460512]","[163.17518725654375, -77.61204069306538]",2018-11-28T00:00:00,"[0.47639005197007595, 0.4502831132973787, 0.448260266694887, 0.34049039785870516, 0.014892917448331622, 0.013605446392138752, 0.44834823407445834]","[163.17537161413546, -77.5996182219057]",42,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,"[0.22127973393134787, 0.18715332541203242, 0.1819083747601606, 0.17340233996270868, 0.14935452724795295, 0.1401671580853827, 0.1793621581781365]","[163.17518725654375, -77.61204069306538]",2018-11-30T00:00:00,"[0.4516712656851886, 0.4216631212677379, 0.41628402840699325, 0.3099635035849061, 0.013004120643827399, 0.01175664308928557, 0.4206122327812724]","[163.17537161413546, -77.5996182219057]",43,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,"[0.21658758019823718, 0.1864893322125595, 0.18146069144723892, 0.16947091189254107, 0.15299453304135235, 0.14374488369170163, 0.17867942345537619]","[163.17518725654375, -77.61204069306538]",2018-12-05T00:00:00,"[0.4892631136800702, 0.4694092052558546, 0.46700463283905513, 0.35945773282072746, 0.012366425957438539, 0.011407834886571376, 0.4696908697095616]","[163.17537161413546, -77.5996182219057]",44,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,"[0.2128540135049503, 0.17304996703309758, 0.1660306504302578, 0.15461846423001466, 0.1324999013888614, 0.12265044772057355, 0.16647803096297942]","[163.17518725654375, -77.61204069306538]",2018-12-30T00:00:00,"[0.5574200562246616, 0.5265964043465564, 0.5406540386528662, 0.4804872378648228, 0.028918364901134048, 0.02944089113292289, 0.5293999360607387]","[163.17537161413546, -77.5996182219057]",45,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,"[0.2068973781685054, 0.16939512840707194, 0.16451418369889323, 0.15693086425502778, 0.15068277101533192, 0.1401330865350723, 0.16536099454003642]","[163.17518725654375, -77.61204069306538]",2019-01-01T00:00:00,"[0.5283946230775899, 0.4986598489463976, 0.5080905998089768, 0.42875678539527073, 0.013058226438739927, 0.012426349601747252, 0.49792558362572675]","[163.17537161413546, -77.5996182219057]",46,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,"[0.2020314504498631, 0.1677521460812475, 0.16284017319982697, 0.1537531526415987, 0.14860402066861356, 0.1384283734163728, 0.16248643562897794]","[163.17518725654375, -77.61204069306538]",2019-01-04T00:00:00,"[0.5172793919542257, 0.4920323532000415, 0.4964293251018812, 0.40864381710253306, 0.010459594660690748, 0.00977439887738661, 0.4899235816597776]","[163.17537161413546, -77.5996182219057]",47,"{""type"":""MultiPoint"",""coordinates"":[]}"
